,fips,county,state,fema_region,date,cases_last_7_days,cases_per_100k_last_7_days,total_cases,cases_pct_change_from_prev_week,deaths_last_7_days,deaths_per_100k_last_7_days,total_deaths,deaths_pct_change_from_prev_week,test_positivity_rate_last_7_days,total_positive_tests_last_7_days,total_tests_last_7_days,total_tests_per_100k_last_7_days,test_positivity_rate_pct_change_from_prev_week,total_tests_pct_change_from_prev_week,confirmed_covid_hosp_last_7_days,confirmed_covid_hosp_per_100_beds_last_7_days,confirmed_covid_hosp_per_100_beds_pct_change_from_prev_week,suspected_covid_hosp_last_7_days,suspected_covid_hosp_per_100_beds_last_7_days,suspected_covid_hosp_per_100_beds_pct_change_from_prev_week,pct_inpatient_beds_used_avg_last_7_days,pct_inpatient_beds_used_abs_change_from_prev_week,pct_inpatient_beds_used_covid_avg_last_7_days,pct_inpatient_beds_used_covid_abs_change_from_prev_week,pct_icu_beds_used_avg_last_7_days,pct_icu_beds_used_abs_change_from_prev_week,pct_icu_beds_used_covid_avg_last_7_days,pct_icu_beds_used_covid_abs_change_from_prev_week,pct_vents_used_avg_last_7_days,pct_vents_used_abs_change_from_prev_week,pct_vents_used_covid_avg_last_7_days,pct_vents_used_covid_abs_change_from_prev_week,pct_fully_vacc_total_pop,pct_fully_vacc_65_and_older
0,1000,"Unallocated, AL",AL,4,2022-09-28T00:00:00.000,0.0,,0.0,,0.0,,0.0,,0.02,2.0,116.0,,0.02,0.184,,,,,,,,,,,,,,,,,,,,
1,1001,"Autauga County, AL",AL,4,2022-09-28T00:00:00.000,56.0,100.234,18359.0,-0.2,0.0,0.0,227.0,-1.0,0.108,33.0,355.0,635.415,-0.003,0.026,2.605,1.486,1.572,7.09,4.045,0.751,0.685,-0.046,0.019,-0.003,0.82,-0.042,0.071,0.008,,,,,0.452,0.73
2,1003,"Baldwin County, AL",AL,4,2022-09-28T00:00:00.000,191.0,85.56,65544.0,-0.279,6.0,2.688,711.0,1.0,0.064,68.0,942.0,421.979,-0.024,-0.103,12.168,1.776,0.001,0.64,0.093,-0.666,0.743,-0.031,0.017,-0.006,0.724,-0.088,0.006,-0.014,,,,,0.523,0.867
3,1005,"Barbour County, AL",AL,4,2022-09-28T00:00:00.000,8.0,32.407,6881.0,-0.83,1.0,4.051,102.0,,0.088,5.0,70.0,283.562,0.037,-0.417,2.221,2.958,0.251,0.267,0.355,,0.771,0.001,0.03,-0.01,0.839,0.011,0.052,-0.003,,,,,0.467,0.735
4,1007,"Bibb County, AL",AL,4,2022-09-28T00:00:00.000,23.0,102.706,7504.0,-0.258,0.0,0.0,107.0,,0.122,12.0,117.0,522.461,-0.013,-0.086,1.466,1.824,-0.281,1.719,2.14,0.376,0.82,-0.006,0.022,-0.009,0.853,-0.015,0.029,-0.029,,,,,0.359,0.627
5,1009,"Blount County, AL",AL,4,2022-09-28T00:00:00.000,82.0,141.805,16875.0,-0.317,2.0,3.459,258.0,0.0,0.14,55.0,342.0,591.429,0.0,-0.073,3.784,1.824,-0.281,4.438,2.14,0.376,0.82,-0.006,0.022,-0.009,0.853,-0.015,0.029,-0.029,,,,,0.325,0.548
6,1011,"Bullock County, AL",AL,4,2022-09-28T00:00:00.000,9.0,89.1,2797.0,0.8,0.0,0.0,54.0,,0.123,8.0,75.0,742.501,0.093,-0.76,0.471,1.486,1.572,1.282,4.045,0.751,0.685,-0.046,0.019,-0.003,0.82,-0.042,0.071,0.008,,,,,0.558,0.831
7,1013,"Butler County, AL",AL,4,2022-09-28T00:00:00.000,19.0,97.696,6040.0,-0.587,0.0,0.0,129.0,,0.149,7.0,46.0,236.528,-0.105,-0.505,1.0,3.333,-0.526,0.0,0.0,,0.361,-0.026,0.044,0.009,0.643,0.194,0.0,0.0,,,,,0.404,0.666
8,1015,"Calhoun County, AL",AL,4,2022-09-28T00:00:00.000,717.0,631.134,37492.0,0.572,5.0,4.401,655.0,0.667,0.183,48.0,273.0,240.306,0.008,-0.334,6.123,3.076,-0.379,21.635,10.87,0.074,0.937,-0.025,0.025,-0.005,0.819,-0.006,0.015,-0.007,,,,,0.482,0.819
9,1017,"Chambers County, AL",AL,4,2022-09-28T00:00:00.000,22.0,66.157,9974.0,-0.185,1.0,3.007,168.0,,0.009,2.0,217.0,652.553,-0.021,-0.103,1.622,3.351,-0.349,1.73,3.574,-0.274,0.746,-0.004,0.04,0.006,0.791,-0.02,0.011,-0.032,,,,,0.326,0.522
10,1019,"Cherokee County, AL",AL,4,2022-09-28T00:00:00.000,23.0,87.8,5991.0,-0.378,0.0,0.0,87.0,,0.047,5.0,34.0,129.791,-0.13,-0.452,0.883,1.608,-0.338,1.589,2.895,0.118,0.669,0.021,0.011,-0.006,0.86,0.013,0.023,-0.022,,,,,0.316,0.547
11,1021,"Chilton County, AL",AL,4,2022-09-28T00:00:00.000,30.0,67.525,12354.0,-0.388,0.0,0.0,213.0,,0.072,14.0,237.0,533.447,-0.037,-0.067,2.907,1.824,-0.281,3.41,2.14,0.376,0.82,-0.006,0.022,-0.009,0.853,-0.015,0.029,-0.029,,,,,0.371,0.67
12,1023,"Choctaw County, AL",AL,4,2022-09-28T00:00:00.000,0.0,0.0,2180.0,-1.0,0.0,0.0,38.0,-1.0,0.2,1.0,7.0,55.604,0.2,-0.781,0.649,1.541,3.526,0.0,0.0,,0.593,0.022,0.008,-0.001,0.896,0.061,0.0,-0.036,,,,,0.678,0.95
13,1025,"Clarke County, AL",AL,4,2022-09-28T00:00:00.000,12.0,50.8,8019.0,-0.5,1.0,4.233,106.0,0.0,0.03,7.0,79.0,334.434,-0.087,-0.24,1.288,1.776,0.001,0.068,0.093,-0.666,0.743,-0.031,0.017,-0.006,0.724,-0.088,0.006,-0.014,,,,,0.519,0.807
14,1027,"Clay County, AL",AL,4,2022-09-28T00:00:00.000,9.0,68.002,4733.0,-0.591,2.0,15.111,90.0,-0.333,0.186,9.0,65.0,491.122,0.11,-0.217,1.656,7.362,3.316,0.764,3.398,,0.523,0.011,0.03,-0.003,0.385,-0.137,0.05,0.007,,,,,0.431,0.704
